Query,ISO,Language,Type,Plurality,Gender,Case,Demonym,Attributes,Canonical
Ukrainerin,de,German,Noun,"Singular, Plural",Feminine,-,Yes,N-P/S-F,FALSE
Ukrainian,en,English,"Noun, Adjective","Singular, Plural (Noun)",-,-,"Yes, No",A+N-S,FALSE
Ukrainien,fr,French,"Noun, Adjective","Singular, Plural",Masculine,-,"Yes, No",A+N-P/S-M,FALSE
Ukrainienne,fr,French,"Noun, Adjective","Singular, Plural",Feminine,-,"Yes, No",A+N-P/S-F,FALSE
Ukrainka,pl,Polish,Noun,Singular,Feminine,Nominative,Yes,N-S-F-Nom,FALSE
Ukrainki,pl,Polish,Noun,Plural,Feminine,Nominative,Yes,N-P-F-Nom,FALSE
Ukraińcy,pl,Polish,Noun,Plural,Masculine Personal,Nominative,Yes,N-P---Nom,FALSE
Ukraińczyk,pl,Polish,Noun,Singular,Masculine,Nominative,Yes,N-S-M-Nom,FALSE
Ukrajina,cs,Czech,Noun,Singular,Feminine,"Nominative, Genitive, Dative, Accusative, Instrumental, Vocative",No,N-S-F-Acc/Dat/Gen/Ins/Nom/Voc,TRUE
Ukrajinami,cs,Czech,Noun,Plural,Feminine,Instrumental,No,N-P-F-Ins,FALSE
Ukrajince,cs,Czech,Noun,Singular,Masculine Animate,"Genitive, Accusative",Yes,N-S---Acc/Gen,FALSE
Ukrajinců,cs,Czech,Noun,Plural,Masculine Animate,Genitive,Yes,N-P---Gen,FALSE
Ukrajinec,cs,Czech,Noun,Singular,Masculine Animate,Nominative,Yes,N-S---Nom,FALSE
Ukrajinka,cs,Czech,Noun,Singular,Feminine,Nominative,Yes,N-S-F-Nom,FALSE
Ukrajinky,cs,Czech,Noun,Plural,Feminine,Nominative,Yes,N-P-F-Nom,FALSE
Ukrajino,cs,Czech,Noun,Singular,Feminine,Vocative,No,N-S-F-Voc,FALSE
Ukrajinou,cs,Czech,Noun,Singular,Feminine,Instrumental,No,N-S-F-Ins,FALSE
Ukrajinu,cs,Czech,Noun,Singular,Feminine,Accusative,No,N-S-F-Acc,FALSE
Ukrajiny,cs,Czech,Noun,"Singular, Plural",Feminine,Genitive,No,N-P/S-F-Gen,FALSE
Ukrajině,cs,Czech,Noun,Singular,Feminine,Dative,No,N-S-F-Dat,FALSE
Ukrajna,hu,Hungarian,Noun,Singular,-,"Multiple Cases (Nominative, Accusative, etc.)",No,N-S---Acc,TRUE
Ukrayna,tr,Turkish,Noun,Singular,-,"Nominative, Accusative, Dative, etc.",No,N-S---Acc/Dat/Nom,TRUE
Ukrayna'da,tr,Turkish,Noun,Singular,-,Locative,No,N-S---Loc,FALSE
Ukrayna'dan,tr,Turkish,Noun,Singular,-,Ablative,No,N-S,FALSE
Ukrayna'ya,tr,Turkish,Noun,Singular,-,Dative,No,N-S---Dat,FALSE
Ukrayna'yı,tr,Turkish,Noun,Singular,-,Accusative,No,N-S---Acc,FALSE
Ukraynaca,tr,Turkish,Noun,Singular,-,-,No,N-S,FALSE
Ukraynalı,tr,Turkish,"Noun, Adjective","Singular, Plural",-,-,"Yes, No",A+N-P/S,FALSE
Ukraynalılar,tr,Turkish,Noun,Plural,-,-,Yes,N-P,FALSE
ucraina,it,Italian,"Noun, Adjective",Singular,Feminine,-,"Yes, No",A+N-S-F,FALSE
ucraine,it,Italian,"Noun, Adjective",Plural,Feminine,-,"Yes, No",A+N-P-F,FALSE
ucrainean,ro,Romanian,"Noun, Adjective",Singular,Masculine,-,"Yes, No",A+N-S-M,FALSE
ucraineană,ro,Romanian,"Noun, Adjective",Singular,Feminine,-,"Yes, No",A+N-S-F,FALSE
ucrainence,ro,Romanian,"Noun, Adjective",Plural,Feminine,-,"Yes, No",A+N-P-F,FALSE
ucraineni,ro,Romanian,"Noun, Adjective",Plural,Masculine,-,"Yes, No",A+N-P-M,FALSE
ucraini,it,Italian,"Noun, Adjective",Plural,Masculine,-,"Yes, No",A+N-P-M,FALSE
ucraino,it,Italian,"Noun, Adjective",Singular,Masculine,-,"Yes, No",A+N-S-M,FALSE
ucraiñenc,ca,Catalan,Noun,Singular,Masculine,-,Yes,N-S-M,FALSE
ucraiñenca,ca,Catalan,Noun,Singular,Feminine,-,Yes,N-S-F,FALSE
